Student's response,Score (1.0-6.0)
"Dear sir.
I am mark kim from year 9

I am writing letter to you to ask you to name a new community activity as Roberto Clemente.
Roberto Clemente was a famous baseball player who contributed to society in many ways. Roberto Clemente spoke out against racial discrimination, planned sports centers for children in Puerto Rico and California, Dillivered supplies to earthquake victims, and acted as a role model for children and minorities. His actions should be remembered so I would like you to name a new community activity as Roberto Clemente.

with best wishes
Mark kim",3.7
"Dear major, 
I am writing to you to say that a lot of people from our city want to name new community activity center for Roberto Clemente. We already have a document with signs. 
Roberto was a fabulous athlete, he played baseball. He had a lot of achievments. He was very kind, he always helped people. For example, he helped eathquake victims from Central America, he delievered supplies by himself. Also he was kind of an activist, in 20th century he spoke out about racial descrimination. As i said he always helped people, especially children, he planned to build sport centers in Puerto Rico (where he was born) and in Canada. In 1971 he won an award, he became ""most valuable player""
He was an amazing person, i believe that you will allow us to name new activity center for Roberto Clemente.
Kind regards, 
Mark Koptelov",3.9
"The new community centers should be named for Roberto Clemente, because not a lot of peoples can do so much hard, important things as Roberto Clemente. He was planning sport centers for children in Puerto Rico and California, he was delivering supplies to earthquake victims in Central America, he spoke out against racial discrimiation, he acted as a role model for children and minorites, and at last he taught children the value of hard work through sports. And while all this was happening, he was also professionall in baseball! He played for Pittsburgh Pirates baseball team in 1955-1972, he had impressed fans with running speed, he had got Most Valuable Player award, and also he achieved Congressional Gold Medal. And community center should be named for Roberto Clemente. People who will go there would understand that they could become a better version of their selfes.",3.3
"To: Mayor
From: Vladislav Shitov
Subject: Why the new activity center should be named for Roberto Clemente. 

Dear, Mayor 
I would like to explain why the new activity center should be named for Roberto Clemente.
It should be named by Roberto Clemente because he made a lot of things to help poor people to access education and athletics, he played in Pittsburg Pirates team, he impressed everyone with his running speed, he also won a gold medal. 
When he was helping to poor people he planned to open sport center for children in Puerto Rico and California. 
He was born in Puerto Rico, when he was a child his family was poor.


I think this person made a lot of things for people and for bassebal teams, so everyone will be happy if the new activity center will be named by Roberto Clemente. 

Kind regards,
Vladislav Shitov 
8.12.2020",3.9
"Dear Principal, 

My name is Stasy and in this letter I want to give you some points and advices why the new activity center should be named for Roberto Clemente. 

First of all, I think you should do that because Roberto Clemente is very beautiful baceball player and your center'll become very popular because of his name. 

Second of all, Roberto is a good person too and I think he will be very pleased to you and maybe sometime he'll come on some lessons and even share, explain or do something for the students. So if that'll happen, you'll be popular, like I said it already. 

And the third, if you'll do that and become popular, you'll have more permisions. You'll have some interesting trips, competitions and maybe Roberto will travel with you, and because of that, you'll have more chance to win in competitions because Roberto will explain you how to win and what you can do for winning. 

So, I think that's all main points that I wanted you tell you. I hope you'll think about my idea and take the right decision. 

Thanks for reading my email.

Kind regards,
Stasy.",3.7
"Dear city mayor,
I think that the new community activity center should be named for such wondefull person like Roberto Clemeente. So in this letter I am going to try explain to you why we sould do it.
He grown up in very poor family. 
I think that this fact will be very strong mativation to guys who living in poor families.  
He became a professional player at 18.
Thats very good results for 18 yo guy who was grown up in poor family. I think that children will be exieted about it because they will be understand that they can be pro players at very erly period of thous life.
He planned sports centers for children.
He made a lot of work for evalution the junior sport. He helped others.
I think that Roberto Clemente was very good person. 
So think about it please.
with respect,
Lev ",4.3
"i can see 2 people playing baseball, and one of them in Baseball uniform, but the rest of them are in normal clothes and 3 bous are watching them. 



2. Hello Mayor, 
i want to recommend you ti name activity cntre for Puerto Rico. Theres are reasons why, Puerto Rico is a talented baseball player. He grow up in a poor family but now he is best player. he never gave up. He was helping poor people to assess Education and athletics program. I hope people will remember him. He deserve for people to remmeber him.
and he is motivation for people never give up.
thank you, Arina",3.1
"Letter to the city mayor.

Roberto Clemente is a famous baseball player, he spent a lot of time by training. In my opinion his achievements and contributions are important because He is a very good example of such great person. For example: he grew up poor and could not afford sports equipment, despite this he became famous in sports. Another thing is that he became a professional league baseball player age 18, he was too young. Next, is that he acted as a role model for children what is worthly of respect. Based on what we said we can justifiably say, that the activity center should be named for Roberto Clemente for his services to sport and high achievements. 

That's all i wanted to say on this issue.
Written by the Minister of health and sport.",4
"I think that new community activity center should be named for Roberto Clemente because he acted a big role for Puerto Rico and California childs, he planned sports centers for children in Puerto Rico, delivered suppliesto earthquake victims in Central America, helps poor youth acces education and athletics programs. Firstly, he was acted as a role model for children and minorities and taugh children the value of hard work through sports. Because of that, i think children belive in theirself, and start to do sport. Secondly, he have played for Pittsburgh Pirates baseball team at 199-1972, and he has most valuable player award 1971. And finnaly he have Congressional gold medal for distinguished achievement in 1973.",2.9
"Dear mayor,

Roberto Clemente is very professional baseball player. He is talented athlete. 
When he was 18, hi was in Puerto Rican professional league baseball player. At 20, he was in Joined Brooklyn Dodgers Major League Baseball team. It is fantastic results for his age. 
I think, that his name is good named to new community activity center. The name of this professional player can up the people minds.

Community activity center director,
Kristina",1.8
"Community activity center should be named for Roberto Clemente becouse he showed him self in sport and community live. He is one of the best proffesional baseball players over the world. He was accepted in Brolyn Dodgers Major League Baseball team at age of 20. He also played for Pittsburgh Piretes in 1955 till 1972.
Riceved most valuable player award in 1971. Achived gold medal in 1973. Moreover he helped children in the sport centers and diliverd supplies after earthquake in Central America. To summaise everything Roberto Clemente is the hero, and his name could be used as name of the sport center. ",3.4
"Roberto Clemente was a good ... player. He won a lot of games. He is a motivation for everyone

Roberto Clemente was not just a good player, he was a good person. He taught many children to play, he helped many children. The stories, who he won motivated children not to give up and mone forward.

Actually Robetro Clemente was one of the best players. He won a lot games. He wanted to make the game better for everyone, so he spoke out against the rasist discrimtion.

The activity center should be named for Roberto Clemente because he was one of the best people who played sports, but also a good person because he taught children to play and he is a good motivation for others. So the activity center will be not just for adults only, but also for children too.",3.1
"Dear mayor,

 I would like to propose you to name the new community activity center after Robert Clemente . Robert Clemente was a great person. He was born in a poor family and that did not stop him to achive his goals, also after his success he started to help other children and peope to achive their goals. He opened a sport center for children who can not pay for it and he thaught them how to play baseball and they need to be brave, strong and hardworking to be successfull, not just in sport. He helped poor people to achive something in sport and athletic, as well. So,he was a baseballer who motivated his fans and children he thaught. In spite of his poor childhood, he was very kind person who wanted to help others. Based on this, I guess that the new community activity center should be named for this fantastic person. Because people need to know about Roberto Clemente and his accomplishements in sport and helping people. He deserve this, he did a lot for sport and for people.",4
"I think the most of the students need to do Cleaning Up a park because this progect can help your parks clean and it lookes better when it clean.

I think it is better than helping first grade students because they have teachers for that.

This more important for comunity because if they are living in trash around them they are not happy and when they are a living in tidy and clean city they are more happy.

The third idea is when in your city a lot of trash and a lot of rats and bettles, flyes it is easer to get an infection or become sick because of bacterias on them and your child or you can get a very bad virus and probably you can die.",3.3
" Dear principal
i thought of making a club that will clean parks to protect the evrioment from the trash that are  people throw away. I would to like half the school could join me to clean trash. My group is here to help enviorment the club meeting will be 4:00PM room number 12.4. If you any questions you can write me I will respond back. 
          
Thank you for your attention 
 
  John Wijoski Year 10R",2.6
"In my opinon Tutoring First graders is the best idea 
because it will be helpful to other children and students don't need to work hard in the park.
Also,it will be good to students to read bookes or playing with childre, and it will be helpful to elementary school's teacher.

So I think Tutoring First graders is a beast ideas for everyone",2.3
"I think that students can clean rubish on the parks. Personaly for me it's better.
  I will explain why. So... It's very good idea to save paks to be clean. Especialy to the group of people who are more 50 years old. 
  The second reason to do it because in this time when we have coronavirus alll around us, nobody cleans the parks.
   The third reason is that animals who lives the, (especialy birds like doves) they eating the rubish and it don't help to theys health, and the will die.  ",2.3
"They should do clean up the park becous its the neture and she wont to be clear,now the nature cant be clear.People put the trash in the ocean and earth.We can clean up a park at first.And for students in can be a fisical exersize.It is a best idea,but students can put trees in the park.The students can take a good knowlarge and in the future put trash in the baskets.And of course the park wont to be clear.In this park wolking mothers with childrens,pensioners,people with dogs and many another people.",2.3
"I think students need to clean up a publick parks.
Because we need to help oer planet not die.
If sudents will be clean up parks people who relax in the park can do it too.
And third reasons it's if we will clean up our parks they will be more popular.
I think we need help our planet because it can be die and we die too.",3.6
"Hello, my name is Simon murashev, and I want to tell you about valontiring activitys with first graders. 
   I thint it is better than another volontearing activitys, because :
1) You shouldn't go outside into the snow, rain etc.
2) You will be like a teacher , and you will get many respect.
3) It is easy to work there, but it is matters realy much. 

Also it is not durty work, so you don't need to wear some ""uniform"".

Valontearing- is a good activity, and if it is easy and good for you - it will be great!

Firstgraders - are like a kids in a camp, who like to listen some storeys from older friends, so they will be happy to see us - like a teacher's helpers .",2.6
" In my opinion students should clean the park because  it will help them to understand, that people need to protect enviroment,  like forests and lakes.I think  after it students will not leave trash is parks and woods.

    They need to clean a park because it is a sport activty too, so they will walk a lot and it is good for health.

  I think that task to visit the nearby elementary school to tutor first graders is helpful just if you want to be a teacher.

  But there is one reason to go to the second activity - you will be better in comunication, specialy if they are children.But it is just one lesson and there is one reason to go to second task.

  So in my opinion it will be better to go to first activity because of  four reasons. ",2.7
"my opinion is that students volunteers should clean up the pablic park near to the school.
The first reason was because i think it is more effective help to the world because if everybody will clean up just a little bit our nature will be cleaner than now. That is why i think it is the most important and effective help because it is effect to everyone in the world.The second reason was because i like to clean up and helping the nature.We also can teach young people to clean it so it is usefull. Or if the other people will see it maybe they also will do it because all peaple are repiting by each others maybe they will understand that it is the very big problem in the world.
The third reason why my choice is to clean up the park because. You can do it with your friends so it is will be interesting.
Maybe you will like it and after school you will do it for your own.

 
That is why my choice was to clean up the nature.",2.7
"Dear Mr. King,

I think, that students shuld do ''Clening Up a Park'' activity.

The first reason of that, in my opinion, is that nature need our help! Many people throwing thrush just in forests and parks. We need to stop that also.

The second reason, is that also there are less and less trees, and we can grow smal trees in our houses and then put them in the park.

The third reason is that small kids or dogs can take something from the ground and eat, butthat will be bad for them.

That is why I think that students shuld do cleaning up a park activity.

Kind Regards,
Vera Fedorova, 7B.",2.3
"There are many volunteering ideas such as cleaning around school building and help school members. In my opinion, I think being a library helper can be a nice volunteer idea.
 Library is a place that most of the students go and stay during the school time. Because of it School-Library gets messy and the books are not in its place easily. That's the main reason that students can help school librarion or the adults.
 Did you see students running and shouting in library even their teachers teach and beg to be quiet? I saw them being like that. There should be volunteering students to make library more better and convinient place. Library is a place that educates people. And to make educating society, I think there should be some helpers.
 We can make library better or just nicer. Volunteering activities can make volunteers improve and the volunteered place or people improve. Books can give a person hope and give any feeling. And there should be a perfect enviroment to concentrate. I hope you can help the students to make a comfortable enviroment for their selves.",4.9
"So we dicided to clean the park because the nature is in danger because many people are thorowing tne rubbish not into the rubbish bin ahd so we dicided to clean th4e park because if people would continue to throw the rubbish into the park and the park will became a big rubbish bin. So we diceded to cut out our rules.
Two girls would cleaning the ground and me will cleaning the park ground out of the rubbish. So if we will contineu to clean the park it will became a beutifull place to get a rest.And we will contiunie to clean the park because we did not finish all, but we alredy finished the half of the cleaning the park.So we will contiu to clean the park because the flowers and ather things in nature we will need for our life.At the end of the day we aredy finished the whoal part of the park and tommorow we will contienue to clean the park and try our best to save the nature. Today we are going to finish the last part of cleaning the park. We already finished gardening and cleaning the park ground. We already finishing the cleaning leves, so i think we will finisf to clean the park today in the evening. We already finished the cleaning of the park and we are really proud of our work, think the nature will say us ,,THANK YOU!''",3.3
"Dear Mr. King,

My name is Nikolay Kaarin. I'm from year 7B and I have idea about volenteers. We can to do that our students from year 1-12 can be volunteers to clean our park wich near our school. For examplen we put posters in our school with topis Saves our planet and when people will see it maybe they will come to you or ask to teachers that can I be volunteers.
  
So the first reason that we can do it that we will help to profesional volunteers to saves our planet. We will cleanimg all park or our school also. We going to be first internatinal school in moscow which created volunteers fron Children.

The second reason that if people will see that childrens are cleaning park in Moscow. People will see it and think ""If children are working, why I can't be volunteers"". So they will be also volunteers. 

Thank you for your understanding and attention.

If you have any questions let me know please.

Kind regards,
Nikolay Kazarin",3.6
"Students can clean up a park.
The girl plants garden and the boy pick up the trash.
Another girl togeter for trash.",1.5
"I think we can do care children.becase I think all ather people like oyger people. so we can care yera1~3 people.
(we can care like middle shcool peopl.becase yeare 4~6 is children too)

I like to care childern we can drowing together. and we can play hideand sick and reding book.

we can drowing anothr person someone care people.we can drowing your face or my face or child face.

hide and sick is very fun.I think in earth we don't have don`t like hide and sick.we are care childern, so we can hide someplace childern can found eysy

wecan riding a booke we can reading book like snow white,about flower,or about super hearo.

I think this is my idia so byebye!.",2.9
"I think that studens volunteers could help shool.

For exsample they can clean park near the shool. Colect gabig. To grow plants , flowers and trees.

The first reason is, the park will look beauteful , clean and more interesting with flovers. Shool will look neater. 

The second reason is, planet around us is will be cleaner litle bit.

And the third one is, its interesting task  I think  kids will love it.",2.7
"i think is going to be batter if they go to the park. My reason are that if you are in the park cleaning you are going to be in nature, learn how to clean, be in a sunny park,help your  country.

If i was in the class i will sey to go to the park because the 1 graders already have a tiecher to teach them. I can go to the park clean pland and help my country. 

When you clean and pland in the sunny park you will have some free time.  eat ice cream, meat new friends, play something  with your nwe friends 

When you clean the a part of the park. You will be proud of your self for what you did for your country it mith be a littel place in the park its still something. 

When you clean a litle place from the park you will be inspare to do it again and again. that is why i will reater chuse the park.",2.3
i think that the cleaning the park idea is the best because the kids that are playing there will like the park when its clean. And also the animals will not get hurt that much because the plastic will be gone. And much all the park will be 10 times beter. Why is it the best because the inviroment of the sourawdings are much more importan than just the school.So that leaves the tyding up idea much beter than others.,2.7
"I think 'cleaning up a park' is best. Because 'tutoring first graders' is just for the first graders, so it just help the first grsders.
 But 'cleaning up a park' is for everyone that is using the park. so it can help to first garders, it can help to second garders, it can help to third garders and everyone else.








I cannot write more",2.9
"Hi,
I think that they should do roject named Tutoring First Grades.
First reasin why, is because we can make first grade better, if we help them with: writing, reading and some physics exercise. 
Second reason why is, if some child is lonely, you can comunicate with them, help them.
Third reason is, help with children, I mean spoiled.
If you can ask him why he/she like that, maybe he/she will be not spoiled anymore and will apologize to children if it's possible and his/her parents will not be traumazing children anymore.
This is the end of my writing.

Whishes,

Bye!",2.7
"I think student volunteer cleaning the public park it is better than reading books to elementary school children.
There are three reasons to clean the public park. 
 First, when they read books to elementary school, student volunteer can be sleeply that time.
 Second, we can have mind that is plant is very helpful to our people.
 Third, we can help the person who cleaning trash and tree leaf.
 For these reasons, I think student volunteer needs to clean the public park.",3.3
"Dear Principal,

I write you this letter because I want to talk about volunteer's work.

I think volunteers should visit the nearby elementary school to tutor first grades because they will help to the teachers to teach their students. 

The first reason is that some students don't understand the lesson, but teachers need to help another students so volunteers will help them to understand.

And the second reason is that the first grade will look at the volunteers and think ""Be volunteers is so cool! When I grow I want to be a volunteer to help another classes.""

Thank you for your attention. If you have any questions please write me.

Kind regards,

Eva Zimenkova 7B",3.3
"Dear ms.Karina!

I think the best day is ""without uniform day"".Because one day a week we can have any clothes you want!70percent of school students hate unifor and they want to wear what they want.Tie ,  it is quiet saffacating!And also tights they are so hot and uncomfortable specially with a skirt it always coming down.Well i like my t-shirt but unfortunately
i cannot wear it.But actually it is a RULE so I cannot change it just asked!

Best regards,Liya Abregova.",4.2
"They need to help animals, because, the animals are not strong like people, and they need our help, and because the some people don't understand that animals are like people, they have their own life and families like us and the last reason is that they are dying.",3.6
Dear mr frankientein want to do a red nose day on next friday woul you like I can make a presentation on red nose day and also rayan wants to do a red nose on friday me and rayan already started the presentation,2.7
"I think that our school should celebrate the Hat Day because is fun and creative. All the students will wear funny and creative hats! 
My choice is the best because I think the students would enjoy the Hat Day and whatever is teir age , becase is the best for all the ages!",3.9
Dear mister Nkolay i think we need to do bord games day so every body bring a bord game and every body playing it  i chose it because its zrelly funny and exited to do and its gona be relly fun and i think there is no beter ideas because its relly cool and maybe we can do like this 4 pairs chose 1 game to each and playing it so if 2 groups wants 1 game they do rock paper sisers shu and who wins first playing this game plese chose it its the best idea i think.,2.7
"Dear Mrs.Teacher

I thaught and I would like to  have a movie day.On that day children could just dress up as their favorite movie character and they should just explain to their classmates.I would like to include it because I would like to know something new about my classmates.For instance if children dont want they could just wear something they like.Thank you for your understanding.Hopefully you will think about my idea.


Kind Regards.",5.3
"Dear mr Aidan I think so we should have a Twin day in this day the school will chosse a friend that will come on this day in the same clouth i did some risorch that on this day you do funny activitys and play it will be nice to have this day so we could have a free time I hope you will her my qwestion and sent me an anwer. thank you 
From Masha. ",4.2
"I think that day of hat more good than the day of twin day,beckouse students can use their own imadination but in tmin day you need to copy the uniforme of the students that  learns in youre class.",2.9
"I want to make a pajama day. On pajama day, all the students need to weare pajamas and come to school with pajama cloth. We can sleep in the school, and we can rest in the school to. And some students are tired of studying all the times. Now, Thats why I want to make Pajama day.  ",3.6
the boy lorn hwo mayk a smol have his mem halp the boy and his mem dror on the smol lybare the boy poot the smol lybare and mane ppoll. eo to poot booksin the smol lybare.,2.2
"Little Library
Stap 1 roof Stap 2 wood Stap 3 paint stap 4 nails paint",1.5
"a liter Libare for nobers
he did a Libare at of wood they kan poot the books and tak Books",2.8
"Ivan learnd about how to make little library. He and his mother bought what they need. They needed the wood, the nails. And they also needed the paint. After, they made the roof of the little library. Then, they built the bottom of the little library. After they built, Ivan put some colors with the paint. He paint it colorfully with nice bright color paint. When they are finished, they put the paint. When they are finished, they put the little library by the flowers in front of their house. Ivan wrote a sign for his little library. ""Bring a book! Take a book!"" Because they put the little library in their frontyard, Ivan could see people using the little library with bright smile. Ivan was happy to see bright smiles.  ",4.8
"Ivan and his mom made little library for theire neibors to be kind each other. First, Ivan bought nails, paint, and woods. Second, they made roof first. Ivan coloured the roof. Third, they made the house part that peoples can put bookes. When they finished to make little library, Ivan put little library by the flowers. So peoples (neibors) come and read the books and put it in to the little library!",4.2
"Book collection 
Kind of organizer
Tina
Did I writabeinn
WhatareTina",1
"Dear Ms.Teacher I think you can choose the day we can wear any clothse what we want because I want wear my best clothse and my friend also wants but me and my friends don't like to do a hat day because they have best clothse and they want to wear it to school so let us have aday we can wear clothse what ever we want thank you for listen this big Email and I hope you understend and talk with another teacher and my friend Liya is only people who want to do a cap day but another 12 student likes to do clothse day (me also)

thank you

best regards

Student",3.6
"Dear teacher

  I think you should chose the wariant with hat day.
On hat day students bring their hats and just play with them because it could be fun. Because twin day is wearing the same clothes, but students wear same uniformevery day and its borring and uncomfortable.On a hat day students can bring any hats that they want, they are feeling special because they are not like others. They are doing fun and feeling special on that day.And it could be good for them.",3.6
girl b,1
"Hello,

I would like an upside-down day. meaning that that the teachers dressed up as a students and vice versa, or the kids dressed upside down, shoes up and shirt down, and another possibility that the boys dressed up as girls and girls dressed up as a boys.there are also many options...

And the reson that I choose it it because it will be funny, fun and interesting. Because it always interesting to be ""in someone else's shoes"".
hope the teachers will coose this one.

and bye!",3.9
"Dear miss Daria!
Can we have on monday play day in thes day we can play have fan and we need to read intrasteng books and dreas whay we whant! Becos cheldren sam time need have fan and more frinds!
Thank you!",2.7
"food day 
every one they are like food but just they are contry .
it can be every one know more about anther contry .
and if you go to anther you know what's dish you like.",2.7
"Dear ms.Lenara,today is a special day called TWIN DAY on that day you need to wear the same clothes as your classmades.",1.6
tina and Hector makes book poster. tina made a book box. And she says books will go in book box and put the poster in a door to. To get my favorit book.,3.4
"Mohandas Gandhi was born on October 2, 1869 in India. He lived in India his childhood then moved to South Africa. Experienced severe racism South Africa just like his country. He worked for 20 years for the right of his country and also for the rights of South Africa. Gandhi went to law school in Britain. There he went to jail multiple times for his social activism in India. He empowered people to organize non- violently and he also worked hard to unite muslim and Hindu communities in India. Gandhi returned to India in 1915 were people named him Mahatma that means ""great soul"". In 1947 India got their freedom thanks to Gandhi and a year later Gandhi died in January 30, 1948.",2
"""The Force of Love by peace always wins over violence"": this quote is a Reflection of what Mohandas Ganghi was. 
Gandhi was born on October 2, 1869 in India, where he spent the first years of his life. Then he completed Law School in prestigious university in Britain. It was very rare for an Indian to have such an education and status. 
Gandhi then moved to South Africa, one of Britain's colonies. It experienced humiliation because of his skin color and nationality, but he didnot take this, he fought the hardest way ever known; Gandhi fought with peace and non-violent disobedience, worked for 20 years for the rights of Indians and opposed discriminatory laws against African people during the early 1900's. 
In 1915, he returned to India to continue what he had already started in South Africa. However, the English knew about him and they put him in jail because of his Social Activism. When he got out of prison he continued his restless campaign against the English government. 
His belief of Satyagraha (peaceful disobedience) seemed like a waste of lives and time for most of  belligerant and savage war towards independence with few followers Mohandas Gandhi led non-violent assemblies against oppressive Laws and with the help of time he gained more and more followers and unified the two major religions of India with a same goal: Independence from the English regiment.
After many years of civilian disobedience, India earned independence from britain in 1947 and Gandhi was given the title Mahatma (great soul) in Sansrkit. Although he had already accomplished his major cause, Mohandas Gandhi was not done yet; he worked hard to unite Muslim and Hindu communities in India until the day of his death on January 20, 1948. In present days, his actions are specialy remembered on ""Non-violence Day"" sponsored by United NAtions, and ""Gandhi Day"" celebrated in India. 
Mahatma Gandhi will always be remembered as a single person that unified and led millions of people through the path of Love by peace. ",5
Some students want to go to a planetarium to learn more about our solar system. Bowen sunopuermop mompt cot youepowgecm Boyeacilloy,1
I was thinking About the field trip I think we should go to the рands and Science museum Because you can Build thing and lean. How to make them you can see How things work in the sience world also to participate in interactive activities with/ others. thank you for your еime and reading this.,2
"The best field trip is nature center. 
First Reason is in the nature center I could learn about a lots of animals. What kind of animals like snakes tigers, lions, and lots of wild animals. 
The second reason is what couls I lear about those animals if they are poison what kind of food they like if they are scare of humans. how much they eat a day. Like for example What kind of food those the snake like. I should learn that in the nature center hear about how many kind of animals live in the wild to stay away from what animals all those kind of things I could learn in the nature center. 
The third reason is are wild animals dangerю I could learn that too in the nature center. Are wild animals dange? Not all of theт are. all those kind of things I could learn in the nature center. 
In conclusion nature center was the best field trip caose. I learn all kind of animals. What they eat and what is these behaviour in the woild. If there danger of not cause in the wild thei are danger animals. You never know wen ther going to comeout so becareful.",3
"There are so many тeat places to go to but the best one is nature center. There is a lot of reasons why lets уxamin some of them.
The first reason is because you can learn lots of neat stuff. For example, you can learn the names of different trees plant ect. You can enjoy some fresh air. 
The second reason is because you can see and lean what they like to do all the time. what they like to eat probably even feed them.
The Third reason you can meet their -habatates and see there wayes : of life see what kide of place it is. A humid place of a rainy place of even a dry place. 
As you can see nature center is a good place to go you cansee neat animales and learn a lot about them and what they like to do and what kind of place they live in. ",4
